"sku","img_url"
"D234","photos/products/D234_1.jpg"
"PM101","photos/products/PM101_1.jpg"
"PM102","photos/products/PM102_1.jpg"
"PM103","photos/products/PM103_1.jpg"
"PM104","photos/products/PM104_1.jpg"
"PM105","photos/products/PM105_1.jpg"
"D235","photos/products/D235_1.jpg"
"D236","photos/products/D236_1.jpg"
"D237","photos/products/D237_1.jpg"
"D238","photos/products/D238_1.jpg"
"D239","photos/products/D239_1.jpg"
"D240","photos/products/D240_1.jpg"
"P232","photos/products/P232_1.jpg"
"P233","photos/products/P233_1.jpg"
"P234","photos/products/P234_1.jpg"
"P235","photos/products/P235_1.jpg"
"P236","photos/products/P236_1.jpg"
"PM109","photos/products/PM109_1.jpg"
"PM110","photos/products/PM110_1.jpg"
"PM111","photos/products/PM111_1.jpg"
"PM112","photos/products/PM112_1.jpg"
"PM113","photos/products/PM113_1.jpg"
"PM114","photos/products/PM114_1.jpg"
"PM116","photos/products/PM116_1.jpg"
"PM117","photos/products/PM117_1.jpg"
"PM118","photos/products/PM118_1.jpg"
"PM119","photos/products/PM119_1.jpg"
"PM121","photos/products/PM121_1.jpg"
"PM122","photos/products/PM122_1.jpg"
"PM123","photos/products/PM123_1.jpg"
"S213","photos/products/S213_1.jpg"
"S214","photos/products/S214_1.jpg"
"S215","photos/products/S215_1.jpg"
"T256","photos/products/T256_1.jpg"
"T257","photos/products/T257_1.jpg"
"T258","photos/products/T258_1.jpg"
"T259","photos/products/T259_1.jpg"
"T264","photos/products/T264_1.jpg"
"T265","photos/products/T265_1.jpg"
"T267","photos/products/T267_1.jpg"
"T268","photos/products/T268_1.jpg"
"T269","photos/products/T269_1.jpg"
"T271","photos/products/T271_1.jpg"
"T272","photos/products/T272_1.jpg"
"TM105","photos/products/TM105_1.jpg"
"TM106","photos/products/TM106_1.jpg"
"TM107","photos/products/TM107_1.jpg"
"TM108","photos/products/TM108_1.jpg"
"TM109","photos/products/TM109_1.jpg"
"TM111","photos/products/TM111_1.jpg"
"TM112","photos/products/TM112_1.jpg"
"TM114","photos/products/TM114_1.jpg"
"TM116","photos/products/TM116_1.jpg"
"TM117","photos/products/TM117_1.jpg"
"TM122","photos/products/TM122_1.jpg"
"P230","photos/products/P230_1.jpg"
"T260","photos/products/T260_1.jpg"
"T261","photos/products/T261_1.jpg"
"T262","photos/products/T262_1.jpg"
"TPM101","photos/products/TPM101_1.jpg"
"D241","photos/products/D241_1.jpg"
"A001","photos/products/A001_1.jpg"
"A002","photos/products/A002_1.jpg"
"A004","photos/products/A004_1.jpg"
"D242","photos/products/D242_1.jpg"
"D244","photos/products/D244_1.jpg"
"D245","photos/products/D245_1.jpg"
"D246","photos/products/D246_1.jpg"
"D247","photos/products/D247_1.jpg"
"P238","photos/products/P238_1.jpg"
"PM126","photos/products/PM126_1.jpg"
"PM127","photos/products/PM127_1.jpg"
