,x,sku,sim
0,T42,T102,0.4653412779024245
1,T42,T106,0.349563948184725
2,T42,T79,0.4675753972788172
3,T42,T103,0.25128410458214634
4,T42,T75,0.2051144639273783
5,T42,T105,0.2092684429932398
6,T42,T107,0.3693293794907248
7,T42,T76,0.25016072990144955
8,T42,T80,0.2506386222023992
9,T42,T73,0.11624694817220364
10,T42,T71,0.23085461264251633
11,T42,T22,0.43108532158533075
12,T42,T10,0.2500834670890719
13,T42,T14,0.34288897951106323
14,T42,T40,0.5253770619132356
15,T42,T44,0.5503313358934606
16,T42,T45,0.6657381979370975
17,T42,T69,0.2150895912685215
18,T42,T70,0.20839661058138487
19,T42,T47,0.24542492075721403
20,T42,T3,0.22128499872076696
21,T42,T19,0.3514076146895533
22,T42,T41,0.7048227088435713
23,T42,T9,0.23413868905077886
24,T42,T7,0.42175926575465583
25,T42,T6,0.1160581219761918
26,T42,T77,0.22092841755854503
27,T42,T68,0.23427001820058838
28,T42,T55,0.46863546414473345
29,T42,T54,0.23535790445088717
30,T42,T53,0.19257538829196877
31,T42,T4,0.25144765366278066
32,T42,T203,0.2204470222820855
33,T42,T274,0.11021344585611162
34,T42,T201,0.22126099017106485
35,T42,T209,0.2058490659042854
36,T42,T211,0.5122528536159034
37,T42,T212,0.2876157746650823
38,T42,T213,0.23145699567453346
39,T42,T205,0.37564652755581895
40,T42,T217,0.09578049603017762
41,T42,T218,0.3057775259999158
42,T42,T220,0.42580818956755656
43,T42,T219,0.3065827712783342
44,T42,T222,0.35327098532015444
45,T42,T224,0.4795533016641356
46,T42,T226,0.11729795891355328
47,T42,T228,0.23312576344345579
48,T42,T238,0.08514816089810044
49,T42,T215,0.1013996082933921
50,T42,T216,0.11716833263875646
51,T42,T239,0.22431802977141926
52,T42,T245,0.3701288090629127
53,T42,T240,0.1175266987827407
54,T42,T241,0.4680460391279426
55,T42,T244,0.3612079603017299
56,T42,T242,0.1171394267292072
57,T42,T243,0.23416154400425482
58,T42,T246,0.44191162766883235
59,T42,T251,0.3008480981081917
60,T42,T257,0.12023619034119161
61,T42,T262,0.2154300417903995
62,T42,T253,0.2511693354165867
63,T42,T261,0.2507840052490119
64,T42,T260,0.30751394577407487
65,T42,T258,0.12213607289639947
66,T42,T252,0.2354183053608328
67,T42,T269,0.09785817974956001
68,T42,T268,0.1252943995848379
69,T42,T267,0.11717291434439955
70,T42,T259,0.3314508926059427
71,T42,T256,0.21041981716805278
72,T42,T265,0.19399807365498475
73,T42,T264,0.2350533782111301
74,T42,T278,0.20922822809793531
75,T42,T280,0.1924480804390099
76,T42,T282,0.10880273490164406
77,T42,T283,0.1894447402186726
78,T42,T284,0.2340567983548399
79,T42,T281,0.2347311254422466
80,T42,T273,0.11021859738822655
81,T42,T279,0.2508410825432632
82,T42,T276,0.3143440234143153
83,T42,T275,0.25087940695932154
84,T42,T286,0.35339016834300135
85,T42,T288,0.23559345052676164
86,T42,T287,0.2515986682132647
87,T102,T42,0.4653412779024245
88,T102,T106,0.6201255707501314
89,T102,T79,0.2826638652103393
90,T102,T103,0.39737421465936223
91,T102,T75,0.20854233312231896
92,T102,T105,0.10454560489267656
93,T102,T107,0.5135007420315052
94,T102,T76,0.533185112779301
95,T102,T80,0.3975313491119361
96,T102,T73,0.36899172529922714
97,T102,T71,0.12205181563830593
98,T102,T22,0.1104093868487998
99,T102,T10,0.5245914745946636
100,T102,T14,0.359890165375279
101,T102,T40,0.5519925577857848
102,T102,T44,0.45159273682181306
103,T102,T45,0.3456394870076246
104,T102,T69,0.3339931888456699
105,T102,T70,0.3317297571287968
106,T102,T47,0.5317103445142944
107,T102,T3,0.6882313324033418
108,T102,T19,0.609184440829788
109,T102,T41,0.36701825877270905
110,T102,T9,0.7417915510213411
111,T102,T7,0.33013367195059584
112,T102,T6,0.24628087178788843
113,T102,T77,0.5845454140408015
114,T102,T68,0.6188962505673332
115,T102,T55,0.4894833412091213
116,T102,T54,0.24734268476881122
117,T102,T53,0.10057111388372521
118,T102,T4,0.39401891006298206
119,T102,T203,0.23535855336337957
120,T102,T274,0.3499791124878767
121,T102,T201,0.5875972185807511
122,T102,T209,0.10830323832569877
123,T102,T211,0.5198778954889373
124,T102,T212,0.292835003096385
125,T102,T213,0.4956202294126788
126,T102,T205,0.5331613173248799
127,T102,T217,0.37068510638192187
128,T102,T218,0.213995998113781
129,T102,T220,0.17232993793665657
130,T102,T219,0.15276568856966094
131,T102,T222,0.49460815782711937
132,T102,T224,0.19485947366816822
133,T102,T226,0.24822631989231345
134,T102,T228,0.247620400643501
135,T102,T238,0.19483531573598475
136,T102,T215,0.20596133982452278
137,T102,T216,0.24740977138926679
138,T102,T239,0.23403029204905498
139,T102,T245,0.5311249047815431
140,T102,T240,0.3723045741317867
141,T102,T241,0.49572932793451213
142,T102,T244,0.09160624615399919
143,T102,T242,0.12461475783565298
144,T102,T243,0.249186757103712
145,T102,T246,0.6942636697966436
146,T102,T251,0.6441117681148766
147,T102,T257,0.2525532356389097
148,T102,T262,0.3418610728677183
